"Citation: Greg Clark, 'What Were the UK Earnings and Prices Then?' MeasuringWorth, 2020. "
"Year","Retail Price Index (2010 = 100)"
"1850","1.199"
"1851","1.171"
"1852","1.180"
"1853","1.267"
"1854","1.366"
"1855","1.372"
"1856","1.372"
"1857","1.344"
"1858","1.274"
"1859","1.280"
"1860","1.365"
"1861","1.374"
"1862","1.374"
"1863","1.340"
"1864","1.304"
"1865","1.341"
"1866","1.384"
"1867","1.448"
"1868","1.425"
"1869","1.388"
"1870","1.340"
"1871","1.377"
"1872","1.436"
"1873","1.447"
"1874","1.381"
"1875","1.361"
"1876","1.363"
"1877","1.362"
"1878","1.321"
"1879","1.261"
"1880","1.288"
"1881","1.271"
"1882","1.273"
"1883","1.273"
"1884","1.230"
"1885","1.187"
"1886","1.177"
"1887","1.153"
"1888","1.151"
"1889","1.160"
"1890","1.165"
"1891","1.174"
"1892","1.179"
"1893","1.156"
"1894","1.126"
"1895","1.110"
"1896","1.108"
"1897","1.130"
"1898","1.151"
"1899","1.139"
"1900","1.185"
"1901","1.181"
"1902","1.181"
"1903","1.194"
"1904","1.190"
"1905","1.194"
"1906","1.192"
"1907","1.212"
"1908","1.228"
"1909","1.230"
"1910","1.256"
"1911","1.259"
"1912","1.295"
"1913","1.303"
"1914","1.336"
